Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Texas-RGV,8,40.0,20.8,50.0,.415,5.4,14.8,.364,13.0,20.5,.634,13.1,15.9,7.8,23.1,30.9,10.2,6.8,1.8,59.9
UC Riverside,18,40.3,22.3,51.2,.436,5.0,16.1,.310,10.1,16.2,.623,13.6,15.8,8.6,22.9,31.5,12.6,5.4,3.0,59.8
Rice,16,40.0,20.4,52.4,.389,7.5,23.0,.326,11.5,15.6,.739,10.0,19.2,6.6,17.2,23.8,11.5,6.3,0.5,59.8
Rutgers,18,40.0,21.9,53.7,.408,5.1,14.1,.362,10.6,15.6,.682,13.7,20.1,11.9,20.3,32.3,11.5,6.1,3.0,59.6
Loyola Marymount,16,40.3,20.4,55.8,.365,5.1,17.4,.294,13.6,18.4,.736,12.4,18.8,11.3,19.4,30.7,8.8,7.6,2.9,59.4
Portland,16,40.3,21.2,53.2,.400,4.3,12.8,.337,12.6,18.4,.687,14.9,16.6,12.0,22.0,34.0,11.4,6.4,4.1,59.4
St. John's,18,38.3,22.1,55.7,.397,3.6,13.8,.258,11.3,17.3,.656,11.2,15.8,10.6,23.6,34.2,11.3,5.9,5.7,59.1
Mississippi State,18,40.6,20.2,51.4,.393,5.1,17.8,.284,13.4,20.3,.658,16.8,16.8,8.3,20.8,29.1,10.0,7.2,3.6,58.9
Columbia,14,40.0,20.5,49.9,.411,5.5,17.1,.321,12.4,16.9,.730,11.1,19.6,9.4,19.7,29.1,10.5,5.5,1.9,58.9
Penn State,18,40.0,20.6,53.8,.382,4.8,16.0,.299,12.9,18.4,.704,12.2,22.6,9.7,22.7,32.3,9.8,5.1,3.3,58.8
Northern Kentucky,17,40.0,20.5,49.1,.417,8.3,22.5,.369,9.6,13.2,.724,10.4,14.4,7.2,19.6,26.9,12.8,6.5,1.8,58.8
South Carolina State,16,40.6,21.9,56.8,.385,3.9,16.4,.236,11.2,17.7,.633,15.4,18.2,13.4,22.8,36.2,11.8,6.4,3.8,58.8
Texas Tech,18,40.3,20.7,52.1,.397,4.5,15.6,.289,12.6,19.8,.635,14.0,20.8,9.2,19.1,28.3,10.1,6.9,2.4,58.4
Delaware State,16,40.6,20.6,50.8,.405,4.9,17.8,.277,12.1,16.9,.719,13.9,15.6,10.7,21.0,31.7,9.6,6.7,5.7,58.2
Fresno State,16,40.6,19.6,51.8,.379,6.2,18.0,.344,12.6,19.0,.664,10.9,19.5,9.9,22.2,32.1,9.2,6.6,3.2,58.1
Saint Peter's,18,40.6,21.7,53.6,.405,4.9,15.3,.324,9.7,16.4,.588,13.4,19.2,9.9,18.7,28.6,11.3,6.8,4.0,58.1
Wofford,18,40.0,21.2,53.4,.398,4.6,16.1,.283,11.1,14.7,.751,11.8,17.3,8.4,21.9,30.3,11.4,6.9,2.3,58.1
Savannah State,17,40.9,20.5,49.2,.417,4.5,14.2,.314,12.2,20.0,.612,18.4,18.2,10.7,22.0,32.7,10.3,9.9,4.2,57.8
San Jose State,17,40.0,19.8,55.5,.356,4.9,17.4,.285,13.2,20.0,.662,12.8,17.4,11.9,20.7,32.6,9.5,5.5,2.7,57.7
Clemson,18,40.0,21.1,52.6,.402,4.7,15.8,.298,10.7,16.2,.661,11.8,15.8,10.1,22.1,32.1,9.6,5.9,4.6,57.7
North Carolina A&T,16,40.0,19.8,52.6,.376,5.8,20.2,.288,11.9,19.1,.624,14.4,18.9,11.3,23.9,35.2,10.9,7.1,4.2,57.2
New Hampshire,15,40.3,20.1,53.9,.373,5.8,20.4,.284,10.7,16.8,.635,11.3,16.5,10.8,23.1,33.9,9.4,5.2,2.1,56.6
Eastern Michigan,16,40.3,20.1,49.5,.407,4.9,14.0,.353,11.2,16.5,.678,13.4,16.8,11.3,20.5,31.8,10.2,8.3,4.6,56.4
Nebraska,18,40.0,20.5,53.6,.382,5.4,17.5,.311,9.9,14.1,.704,9.8,17.3,8.7,20.9,29.6,8.7,5.2,3.1,56.3
Northwestern,18,40.0,19.0,50.0,.380,7.1,22.7,.311,10.6,15.7,.674,10.3,16.9,7.6,18.4,26.1,12.8,5.7,2.6,55.7
Hofstra,18,40.0,19.3,50.6,.382,4.5,16.0,.281,12.1,19.0,.635,13.8,16.7,11.6,20.5,32.1,9.6,6.8,2.8,55.2
Maryland-Eastern Shore,16,40.6,19.4,53.6,.362,4.1,14.4,.281,12.2,20.2,.604,16.2,17.3,13.2,21.2,34.5,9.3,7.2,2.1,55.0
South Florida,18,40.6,19.6,52.0,.376,5.8,20.0,.289,9.7,13.9,.693,11.2,16.5,9.2,18.9,28.2,9.9,5.9,3.4,54.6
Binghamton,16,40.0,19.2,53.6,.359,4.6,17.4,.266,10.6,16.1,.658,14.9,16.6,9.5,23.9,33.4,7.6,6.0,2.9,53.7
Wyoming,16,40.3,19.1,48.7,.393,6.1,20.4,.298,9.3,15.7,.594,9.8,15.3,6.1,19.5,25.6,10.0,5.7,3.4,53.6
Texas Christian,18,40.0,18.7,49.7,.375,3.9,12.8,.307,12.0,20.3,.592,13.6,15.9,10.3,19.2,29.6,9.4,5.5,2.6,53.3
Northern Illinois,16,40.0,16.9,48.9,.347,4.4,16.1,.276,14.5,21.6,.672,14.6,21.1,11.3,21.0,32.3,7.9,6.3,1.6,52.8
Navy,14,40.0,18.5,52.1,.355,5.1,17.9,.283,8.3,13.5,.614,10.3,17.0,8.5,19.6,28.1,10.6,5.4,2.1,50.4
Grambling State,18,40.0,19.3,52.7,.366,4.3,15.3,.283,7.3,13.7,.537,14.9,16.3,10.6,21.0,31.6,10.4,3.9,2.0,50.2
Howard,16,40.0,16.7,49.4,.338,3.6,14.2,.251,13.2,20.3,.652,15.2,17.8,12.0,22.9,34.9,8.5,6.0,3.4,50.2
