Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
James Madison,18,40.3,23.1,54.4,.425,6.4,16.8,.381,16.7,24.1,.693,12.4,17.0,11.6,24.5,36.2,13.0,6.7,4.0,69.3
Albany,16,40.0,25.6,54.3,.471,6.6,18.0,.368,11.5,16.3,.705,12.8,18.8,8.2,19.8,28.0,12.9,5.9,2.6,69.2
Austin Peay,16,40.0,24.9,54.8,.454,5.9,16.3,.364,13.5,19.6,.690,14.4,21.5,10.6,21.6,32.2,12.3,6.8,2.6,69.2
Creighton,18,40.3,25.4,58.4,.435,6.9,18.9,.364,11.5,16.2,.711,8.6,18.7,8.4,20.0,28.4,13.6,6.6,2.6,69.2
Appalachian State,18,40.3,24.3,56.8,.427,5.8,18.4,.316,14.8,21.7,.682,11.3,18.5,9.9,23.2,33.1,12.4,5.8,2.3,69.2
Washington State,18,40.3,24.3,52.6,.462,8.2,21.1,.387,12.4,18.6,.666,11.4,19.1,8.5,20.6,29.1,15.0,5.6,2.9,69.1
Texas-RGV,10,40.0,24.0,53.6,.448,6.4,16.8,.381,14.7,20.2,.728,15.0,19.9,9.8,25.4,35.2,11.0,6.8,2.2,69.1
South Carolina,16,40.3,23.4,50.1,.468,6.6,17.1,.388,15.6,20.9,.743,13.9,14.2,11.2,22.2,33.4,14.8,6.1,5.3,69.1
Northwestern,18,40.6,24.8,53.6,.463,7.3,19.8,.371,12.1,17.7,.680,11.7,18.3,10.7,22.3,33.0,15.5,5.4,2.8,69.1
South Alabama,16,40.6,25.0,58.4,.428,6.8,20.0,.341,12.2,17.3,.704,12.6,18.1,11.2,19.7,30.9,13.9,8.6,5.1,69.0
Morgan State,16,40.6,24.1,58.8,.411,6.1,18.8,.322,14.6,21.8,.672,14.3,18.4,13.7,21.0,34.7,11.4,6.6,3.7,68.9
Samford,18,40.3,23.9,56.5,.424,9.3,25.5,.364,11.7,16.7,.698,11.8,17.4,11.8,22.7,34.5,15.2,5.4,1.8,68.8
Eastern Kentucky,16,41.2,23.7,50.3,.471,5.6,16.1,.346,15.9,22.4,.709,13.2,16.1,10.0,22.3,32.4,13.4,5.0,2.6,68.8
New Mexico State,14,40.4,25.2,57.9,.436,5.9,19.4,.303,12.5,19.4,.643,13.6,20.7,9.1,20.8,29.9,13.1,5.7,4.1,68.8
Xavier,16,40.3,23.1,56.8,.407,7.2,21.5,.334,15.3,19.9,.768,12.4,18.8,9.2,22.3,31.6,13.8,6.2,3.9,68.8
Fresno State,14,42.5,23.8,51.6,.461,5.4,16.3,.333,15.7,23.4,.671,14.1,16.9,9.5,25.0,34.5,13.1,2.9,3.7,68.7
Illinois State,18,40.6,24.2,56.3,.430,7.4,19.9,.372,12.8,18.1,.709,9.9,18.1,8.6,23.4,32.0,12.8,5.6,2.3,68.7
Saint Joseph's,16,40.9,24.4,60.1,.405,7.2,19.2,.375,12.7,18.2,.695,9.6,18.6,11.0,21.5,32.5,13.8,6.7,2.9,68.6
Duke,16,40.6,25.4,58.4,.435,4.2,14.4,.294,13.5,20.6,.657,11.6,20.0,11.5,23.0,34.5,11.3,4.4,3.3,68.6
Oregon,18,40.0,25.3,55.6,.456,6.0,16.8,.358,11.9,18.0,.660,13.1,18.3,9.6,19.7,29.3,12.5,5.9,3.3,68.6
Texas,18,40.1,23.2,52.2,.444,5.8,15.4,.375,16.2,23.7,.685,13.4,20.8,9.5,20.8,30.3,11.3,5.4,3.6,68.3
Illinois-Chicago,18,40.6,23.6,51.6,.456,6.2,16.7,.369,15.1,22.2,.677,10.9,17.3,9.1,22.1,31.2,13.2,6.5,4.7,68.3
Penn State,18,40.0,21.7,46.7,.464,7.9,19.6,.406,17.0,23.2,.734,12.4,16.3,7.2,23.2,30.4,13.6,5.4,4.7,68.3
Boston College,16,40.0,25.2,56.0,.450,6.0,16.9,.356,11.8,16.2,.730,11.4,15.5,9.2,24.5,33.6,13.4,7.6,3.8,68.2
Indiana State,18,40.8,23.2,53.8,.432,5.9,15.8,.373,15.8,21.1,.750,10.8,19.1,8.2,24.0,32.2,12.5,6.0,2.4,68.2
Grambling State,18,40.3,25.0,55.3,.452,5.4,15.8,.344,12.7,18.3,.694,12.2,18.3,10.9,23.5,34.4,12.1,7.3,3.4,68.2
East Carolina,16,40.3,24.9,53.0,.469,5.6,15.6,.357,12.8,18.5,.693,13.5,17.3,10.1,23.8,33.8,14.3,6.6,3.6,68.1
Norfolk State,16,40.9,23.8,58.3,.407,4.9,17.1,.289,15.7,24.1,.652,13.5,20.1,11.3,21.4,32.8,10.7,5.8,3.2,68.1
Northern Illinois,16,40.0,21.7,47.3,.458,7.6,19.5,.391,17.1,22.8,.748,12.8,17.4,8.1,21.3,29.4,12.6,7.7,3.4,68.1
Ole Miss,16,41.2,24.6,59.1,.416,7.5,21.1,.356,11.4,17.1,.670,11.6,19.4,11.7,21.1,32.8,14.7,6.9,2.9,68.1
Florida International,16,40.6,22.3,52.6,.424,6.9,21.1,.328,16.5,26.2,.629,12.8,19.0,10.5,23.0,33.5,13.2,6.3,4.1,68.1
Pepperdine,16,40.1,23.4,53.6,.436,6.1,18.4,.333,15.2,22.1,.688,9.4,17.4,9.4,23.2,32.6,12.8,6.9,3.8,68.1
Mount St. Mary's,18,40.8,24.4,54.2,.450,6.7,18.9,.352,12.6,18.4,.684,14.3,16.7,10.4,20.1,30.5,13.9,7.4,2.2,68.1
Illinois,18,40.8,23.6,51.4,.459,6.6,16.3,.401,14.2,19.8,.719,12.4,17.1,7.7,22.3,30.0,12.8,6.7,2.1,68.0
NC State,16,40.3,24.4,58.1,.419,6.2,19.6,.318,13.0,18.5,.703,12.5,17.0,10.7,21.7,32.4,12.1,5.9,4.3,68.0
Marquette,18,40.0,25.0,58.6,.427,5.6,17.6,.319,12.3,18.1,.681,15.7,19.5,12.1,21.6,33.6,14.8,7.4,4.0,67.9
UNLV,14,41.1,23.9,56.5,.422,6.9,20.8,.330,13.4,19.1,.700,14.1,18.3,9.4,23.2,32.6,12.1,6.2,2.3,67.9
Utah,18,40.3,24.8,52.6,.471,6.7,17.1,.394,11.6,17.7,.657,11.4,15.2,9.5,24.7,34.2,15.1,7.1,3.6,67.9
Drake,18,41.1,23.4,54.3,.431,4.4,16.3,.272,16.5,22.2,.744,12.4,18.3,9.3,24.8,34.1,11.4,5.9,3.0,67.8
George Washington,16,40.0,23.8,52.2,.456,5.9,15.7,.378,14.2,21.1,.675,12.4,16.6,10.2,20.4,30.7,12.8,5.9,3.7,67.8
Louisiana-Lafayette ,16,41.6,24.1,60.6,.398,4.6,15.1,.303,15.0,22.6,.663,12.3,20.8,10.8,24.6,35.4,9.1,7.1,3.8,67.8
Missouri,18,40.3,25.4,54.4,.467,6.3,15.4,.412,10.5,15.6,.675,13.5,18.1,9.3,20.2,29.5,14.0,5.3,3.1,67.7
Kent State,16,40.3,25.1,57.2,.439,6.3,18.1,.348,11.1,16.1,.693,14.9,16.8,11.8,20.9,32.6,13.2,7.5,3.5,67.7
Nebraska,18,40.0,24.1,50.3,.478,7.4,20.6,.359,12.2,16.9,.720,12.1,14.2,7.7,22.8,30.4,13.6,6.9,2.9,67.7
Pittsburgh,18,40.0,24.3,53.6,.453,5.7,17.1,.334,13.4,18.4,.726,12.0,16.0,10.3,19.6,29.9,13.9,7.5,4.8,67.7
St. Francis (NY),18,40.0,23.7,54.3,.437,4.3,15.6,.274,15.9,23.7,.672,14.7,19.1,9.3,21.6,30.9,11.8,7.1,2.6,67.7
Binghamton,16,40.0,24.0,52.1,.461,6.5,18.1,.359,13.1,18.7,.702,12.6,15.0,9.5,23.1,32.6,11.4,6.6,2.4,67.6
Hampton,16,40.6,22.9,56.7,.404,5.9,17.9,.331,15.9,21.8,.733,15.5,19.8,11.2,25.8,37.0,10.0,5.5,2.8,67.6
Rutgers,18,40.3,22.6,51.6,.437,6.1,16.9,.359,16.4,24.4,.674,14.7,15.8,11.1,22.4,33.5,14.8,6.8,4.2,67.6
