Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
Indiana,18,40,24.7,53.4,0.463,7.2,17.2,0.416,17.9,24.6,0.731,12.7,17.2,12,23.7,35.7,12.5,6.6,3.6,74.6,2013
Wagner,18,40.6,26.7,56.4,0.473,4.7,13.4,0.353,16.3,22.9,0.711,13.8,20,11.6,23.5,35.1,13.7,8.2,4.9,74.4,2013
Valparaiso,16,40,25.6,51.8,0.493,8.2,21.1,0.389,15.1,20.5,0.735,12.8,17.8,8.9,22.4,31.4,14.9,6.2,3.9,74.4,2013
Southern Mississippi,16,40.3,26.9,55.4,0.485,7.4,18.4,0.405,13.2,19.8,0.666,13.8,19.7,12.2,23,35.2,15.6,8.6,3.4,74.4,2013
Omaha,16,40,28.6,60.1,0.476,6,16.8,0.358,10.9,15.8,0.694,13.8,16.9,8,20.8,28.8,13.4,7.1,3.2,74.2,2013
Central Connecticut State,18,40.6,26.4,60,0.44,7.2,19.4,0.37,14.2,20.2,0.703,12.4,15.8,9.8,24.9,34.7,13.5,7.1,4.2,74.2,2013
Robert Morris,18,40.3,25.3,55.4,0.457,9.1,22.4,0.407,14.4,19.6,0.736,11.8,20.1,9.7,20.3,29.9,15.2,9.2,2.8,74.2,2013
Massachusetts,16,40,26.2,57.2,0.459,7,18.9,0.37,14.6,20.4,0.713,13.2,19.2,10.7,24.1,34.8,15.7,6.3,5.6,74.1,2013
Cal State Fullerton,18,40,25.4,56.6,0.449,8.4,23.1,0.365,14.5,18.8,0.772,11.8,17.6,8,19.2,27.2,13.6,7.3,1.8,73.8,2013
Sacred Heart,18,40.3,26,57,0.456,7.1,19.4,0.363,14.8,19.9,0.743,14.7,19,10.4,22.9,33.3,14.4,6.7,3.7,73.8,2013
Ohio,16,40.6,26.5,57.1,0.464,7.6,22.1,0.342,13.3,19.9,0.67,11.2,19.4,8.7,22.8,31.5,17.3,8.6,3.7,73.8,2013
